,sentence
0,La Biblioteca Museu Víctor Balaguer conserva obres seves.
1,És quan erro que m'ofego.
2,He d'anar del carrer A als jardins de Can Castelló.
3,"Les fulles són grans, llargues i molt dentades."
4,Té un petit campanar d'espadanya al capdamunt de la façana.
5,Es troba a Taiwan i a les illes Hawaii.
6,Són originàries d'Euràsia i d'Àfrica del nord.
7,El partit es presentà a diverses eleccions locals.
8,Igualment la pràctica de l'instrument ha experimentat un increment notable.
9,Es van llançar diverses sondes per a explorar la Lluna.
10,L'efecte de la memòria addicional va tenir resultats variats.
11,La seva mare era irlandesa.
12,També solen ser vistos volant sobre erms.
13,El seu origen es qüestiona.
14,El conjunt és molt proporcionat.
15,Es considera el pare de la historiografia marxista grega.
16,Només és subvencionable la part estrictament vinculada al projecte.
17,Dimarts en Guillem i n'Hug van a Canejan.
18,"Si algú havia vist el crim, s'ho callava."
19,"En aquest sentit, aporten més informació els jaciments arqueològics."
20,Els seus penya-segats alberguen nombroses espècies d'aus marines.
21,La rebotiga del cor de la catedral.
22,És rica en proteïnes i greixos.
23,Sovint se celebren festivals d'èxit durant els anys posteriors.
24,És un endemisme de Califòrnia.
25,És endèmica de Papua Nova Guinea.
26,La seva hibernació té lloc entre octubre i abril-maig.
27,Es troba a l'Àfrica Oriental: el llac Malawi.
28,Quines parades fa l'autobús que va a Igualada?
29,Com ho puc fer per anar a Serinyà dimarts?
30,"Mosques i tàvecs, tots piquen."
31,"Perfecte, i hi ha costos addicionals?"
32,Dijous en Quer i na Fiona aniran al cinema.
33,A l'interior es conserva l'estructura metàl·lica amb l'enteixinat de fusta.
34,El deu d'agost na Nina va a Santa Pau.
35,Demà passat na Cloe anirà al metge.
36,La segona polèmica va arribar a final de gener.
37,Quantes persones han sigut arrestades?
38,Aquí està el pot de la confitura.
39,Furtar fruita de l'hort del veí.
40,Per Sant Jordi na Dúnia anirà a Sarrià de Ter.
41,Dijous na Blanca vol anar d'excursió.
42,"En totes dues novel·les, l'exaltació patriòtica és ben evident."
43,És el seu mateix reflex amb les seves mateixes inquietuds.
44,Dissabte na Cèlia anirà a Xirivella.
45,Però aviat va aparèixer el poder malèfic.
46,Després del relleu retornà al Consell d'Estat.
47,Anar amb preguntes i respostes.
48,M'han ratllat el cotxe aquesta nit.
49,El Zygentoma també va ser ascendit a l'estat d'ordre absolut.
50,Els mitjans de comunicació poden ser públics o privats.
51,L'Sten s'adona que no hi ha res a fer.
52,Les plantes de cultiu obert són irregulars.
53,L’Olga també estava embarassada en aquell moment.
54,A concentracions baixes fa olor d'herba acabada de tallar.
55,Amb aquesta accepció ha arribat a nosaltres.
56,La seva especialitat és la Guerra Civil espanyola i l'exili.
57,Filla de pares tutsis mestres i fervents catòlics.
58,Aquest transbordador em sembla avorrit.
59,"Està situada a Besançon, França."
60,El vint-i-nou de febrer en Sol anirà a Bot.
61,També es pot escriure Liang o Yang en mandarí.
62,Les obertures són fetes amb peces de maó massís.
63,"Feta servir a l'americana, de segona mà."
64,Dimecres na Neida anirà d'excursió.
65,Sabien exactament el que volien.
66,Bellmunt del Priorat és un topònim compost.
67,"Es troba a Bulgària, Grècia, Rússia i Síria."
68,El tracte ha estat correcte en tot moment.
69,"A dia boig, caminant savi."
70,Això no danya la salut.
71,A l'interior hi ha dues versions del programa.
72,Era un músic de talent i va deixar catorze composicions.
73,De quina planta s'alimenten les femelles adultes?
74,La seva llavor principalment la dispersen els ratpenats.
75,Revolucionaris que han acabat exercint de tirans.
76,Té poca decoració i cap inscripció.
77,La còpula i la inseminació són ràpides.
78,Ho va escriure i cantar Steve Diggle.
79,"També estudià a la Universitat d'Edimburg, Escòcia."
80,"Quan s'inicià la Guerra Civil, es trobava disponible a Mallorca."
81,Portal rodó adovellat i tres finestres gòtiques.
82,Aquesta llegenda és evidentment un mite.
83,Els de Bellmunt tenen la gent lluny.
84,Contra l'atzar es vivia prou bé.
85,Constitueixen un dels grups de risc per al fracàs escolar.
86,"Casat, i amb un fill."
87,La mida de les obertures disminueix amb l'alçada.
88,N'existeixen múltiples models al món.
89,Va estar en el número u d'Àustria durant vint-i-una setmanes.
90,La policia sospita que ha estat un crim homòfob.
91,L'oncle Canut sent el repic de les campanes.
92,Finalment va acabar sent envoltat per l'enemic.
93,El nou d'octubre na Lena anirà a Mollerussa.
94,El seu centre d'operacions és l'Aeroport Internacional de Tunis.
95,"L'obra, de pedra, està arrebossada i pintada."
96,És l'acte popular més emblemàtic de la festa.
97,Sant Llorenç d'Hortons és un bon lloc per anar-hi.
98,La Sol li explica la situació.
99,Escala centrada i dos apartaments per planta als pisos.
100,Dilluns na Tanit anirà a Vallibona.
101,Dissabte en Blai anirà a Porrera.
102,El territori coincideix amb el Panjab.
103,Allà va començar a investigar observant el nitrogen en rierols.
104,Dimarts na Rosó i en Bru volen anar a Llançà.
105,Cançó operística amb ressons del Tercer Reich.
106,El solc central de la depressió nasal és relativament estret.
107,Tres-cents vuitanta-tres mil vuit-cents setanta-tres admet una lectura prosaica.
108,Va compondre alguna música per al servei eclesiàstic.
109,Com ho puc fer per anar a Llíria?
110,Dues subespècies germanes reconegudes actualment i estretament relacionades.
111,La festa de les festes.
112,El telescopi farà ús d'òptica adaptativa.
113,Està escrit en forma rondó-sonata.
114,Aquest temple és un dels tipus més bells d'arquitectura coríntia.
115,A continuació hi haurà dues taules rodones.
116,Només s'han trobat restes d'un crani i una mandíbula.
117,Al museu es poden contemplar algunes restes arqueològiques d'aquestes instal·lacions.
118,Probablement és el mateix esmentat també per Tertulià i Eusebi.
119,Segons altres versions fou afusellat per falangistes.
120,De què va ser acusada la justícia federal alemanya?
121,"És molt confusioner, un enredaire."
122,"La perspectiva pot reproduir-se de manera perfecta, sense construcció."
123,África Zamorano és una nedadora nascuda a Barcelona.
124,Culminava així la seva pràctica com a aprenent de comerciant.
125,És la part més vistosa i estava coberta amb volta.
126,La ciutat és la seu de dos aeroports.
127,Però aquesta probabilitat es va complir.
128,Es formen comitès parlamentaris per deliberar llargament sobre assumptes específics.
129,"Que no punxa, desproveït de banyes."
130,Bagà destaca per la seva rica cuina catalana.
131,Visca les persones com cal!
132,Per Sant Jordi en Xavi va a Bufali.
133,A quina hora passa el primer autobús per Seròs dijous?
134,Ariadna Castellarnau Arfelis és una escriptora nascuda a Lleida.
135,Els ancilòstoms habiten al sud de Califòrnia.
136,Després es trobava que no podia comprar res.
137,"De llana d'anyell, bon burell."
138,Inicialment la pagesia revoltada va col·laborar amb els pobles bàrbars.
139,L'altra porta es va obrir posteriorment.
140,Diumenge na Farners anirà d'excursió.
141,"No hi ha barber mut, ni músic tossut."
142,El cos d'aigua que tanca s'anomena badia de Dungeness.
143,Viuen en zones humides normalment amb poca profunditat.
144,En acabat de sopar anirem al casino.
145,Un colós de la ciència.
146,I aquest home extraordinari va tornar a agafar el bolígraf.
147,A Ucraïna se celebra més d'un campionat de futbol.
148,Com puc arribar al jardí dels Tarongers número vuitanta-u?
149,És la primera persona que ve a Catalunya?
150,La parella té una posició concreta.
151,L'Sten no pot evitar sentir un cert orgull republicà.
152,L'escut del municipi fa referència a l'antiga família noble.
153,És allò que en dèiem excedent.
154,En l'actualitat s'usa àmpliament com a sala d'exposicions.
155,El Vaticà ha reconegut dos miracles.
156,"De fet, els costos de penjar-ho tendeixen a zero."
157,Són la colla estrangera que ha assolit les millors fites.
158,El riu és considerat sagrat.
159,També va exercir nombrosos i importants càrrecs governamentals.
160,"Després d'una setmana d'acció, el govern va cedir."
161,Així no heu perdut el fil.
162,Fem mal i no ho notem.
163,M'agradaria anar a Bellcaire d'Empordà amb bicicleta.
164,El poble rural té uns masos històrics interessants.
165,Cada jugador pertany a una de les deu faccions.
166,La font és una surgència natural i raja molt rarament.
167,Aquesta figura és de color vermell-castany i vermell.
168,Què ha trobat un banyista a l'aigua?
169,Diumenge na Blau anirà a Vila-seca.
170,Qui està malalt que jegui.
171,Va ser nomenat doctor honoris causa per cinc universitats.
172,Les duanes tindran un rol diferent de l’actual.
173,Es troba des del Japó fins a Palau.
174,Algunes pedres de les obres encara es poden veure.
175,Dissabte en Sergi i na Laia aniran a Creixell.
176,El vint-i-tres de maig en Pep anirà al metge.
177,Què hi ha a la plaça de Prosperitat número quaranta?
178,"Sí, la pot contractar aquí mateix."
179,"Tanmateix, pistolers autèntics apareixen a la pel·lícula com a figurants."
180,"La façana, orientada a migdia, dóna a una petita plaça."
181,No es veia com a la majoria dels altres ordinadors.
182,Si vol pot fer la comanda per aquí.
183,"I cagades per inexperiència, també."
184,Al final de la seva vida va quedar-se cec.
185,No és pas per batre cap rècord.
186,"I tu com ho saps, tot això?"
187,La població era de majoria bengalina i parlava el bengalí.
188,Aquesta acció li comportà l'exili a Occitània.
189,Les pèrdues dels bòers van ser considerablement més altes.
190,"Paisatge després de la batalla, titula un periodista."
191,L'estat de conservació general és correcte.
192,Aquesta cançó és també la pista principal del joc.
193,Va escriure diversos llibres didàctics i va compondre música religiosa.
194,Això es pot comprovar ocularment.
195,En aquesta planta hi ha una farmàcia.
196,El terme 'amén' és símbol de confirmació i d'afirmació.
197,La missió de l'Escola Judicial és també doble.
198,La setmana entrant analitzarem els cinc lipogrames.
199,I només cal mirar el nostre entorn.
200,Què hi ha del cardinal dels nombres racionals?
201,El Moisès penja de cap per avall.
202,De la seva època i origen no es coneix res.
203,Mitjançant les ulleres es pot identificar als dos personatges.
204,Fa els seus estudis de música al Conservatori d'Ankara.
205,Té dos pisos i unes golfes.
206,Es van fer diversos models.
207,Durant l'època colonial va ser un important centre agrícola.
208,Darwin és epítom de l'estudiant-atleta.
209,Va conservar certa importància a l'era aquemènida.
210,Quantes firmes de suport té la iniciativa?
211,És al voltant de la circumferència.
212,"Sí, sí, escolti-la, ja ho veurà."
213,Demà en Quel i na Gina volen anar a Amer.
214,El vint-i-nou de febrer na Gemma anirà al cinema.
215,Es troba al Pacífic sud-oriental: les Illes Galápagos.
216,El deu d'agost en Grau vol anar d'excursió.
217,"Com els seus germans, va fer carrera política."
218,Demà na Laura anirà a la platja.
219,L'àudio sense vídeo havia mort.
220,"Aleshores, es refugià a la cova."
221,Més tard es va convertir en professor d'arquitectura.
222,El Ricard hi havia instal·lat una conducció d'aigua.
223,"Pel gener, el caragol carriler."
224,Aquestes fredorades han aflamat el ficus.
225,Em sembla natural que es produeixi.
226,El deu d'agost na Sibil·la anirà a Forallac.
227,El pont té l'obertura principal més llarga del país.
228,Quant de temps feia que no ens vèiem?
229,Els resultats confirmaren la tendència de les eleccions regionals.
230,L'origen del nom no està gaire clar.
231,Demà passat voldrien anar a Xella.
232,Com puc arribar a Palau-solità i Plegamans amb bicicleta?
233,Francesc Grau va ser un escultor nascut a Manresa.
234,L'última sala de la visita comentada és un bar.
235,Drake convenç Kaminsky que hauria d'atemptar contra la Unió Soviètica.
236,"Ara resta pràcticament destruït, només se'n conserva aquest pou."
237,És una banalitat que retrata un dol.
238,Quantes parades té el trajecte en autobús fins a Cadaqués?
239,Per guanyar una campanya cal guanyar-ne tots els escenaris.
240,Quan va ser introduïda la serp arborícola bruna a Guam?
241,La parella es retracta cada vegada.
242,Sense estar abandonada la casa necessita alguns arranjaments.
243,Té trossets de vidre als llavis i els ulls inflats.
244,També serví com a examinador apostòlic pel clergat.
245,Ho vivia com un esquinçament dins la seva família.
246,La goleta al·ludeix al tràfic marítim entre les diverses illes.
247,Com ho puc fer per anar a Terrassa amb tren?
248,Castillo era un crioll descendent d'espanyols.
249,Quins llenguatges de programació suporten els motors?
250,Hi ha una motllura perimetral a l'alçada dels forjats.
251,Els operadors sanitaris t'informaran i orientaran.
252,Aquesta característica es dóna en les embarcacions construïdes a l'Atlàntic.
253,El cap del districte és la sotsprefectura de Pontoise.
254,Hom diu que segresta els nens ficant-los en un sac.
255,La seva memòria és actualment honorada.
256,Tot plegat constitueix una composició ordenada.
257,"Així doncs, l’afer català podria tornar a quedar aparcat."
258,Actualment ningú ocupa aquest càrrec.
259,Sovint les bacines tenien usos religiosos.
260,Podeu llegir l’article sencer ací.
261,Un nombre desconegut de jugadors participaren en la prova.
262,No recomanaria agafar la drecera.
263,Procedeix del Santuari dels Tossals però actualment és guardada aquí.
264,Alguns mitjans ho anunciaran com una dissolució.
265,També reben finançament i subvencions del govern.
266,Les tropes britàniques van actuar immediatament i contundent.
267,Per això explora unes altres vies.
268,Valdre més pessetes que una fàbrica de galetes.
269,Les setze restants no professarien cap religió.
270,L'aventura andalusa tampoc va durar gaire.
271,Què va col·locar Nicolau Maria a cadascun dels costats?
272,Tota l'evidència n'és enterament iconogràfica.
273,Habiten principalment boscos de terres baixes i selves.
274,Presenta branques trencadisses i normalment és una planta dioica.
275,"Només han guanyat sis partits, quatre d'ells a casa."
276,Un gat ros clapat de blanc.
277,No segreguen seda ni cap mena de verí.
278,Els balcons són de ferro treballat.
279,Divendres en Quer anirà al teatre.
280,Com puc anar a la plaça d'Urquinaona número dotze?
281,Del seu matrimoni va tenir un fill i dues filles.
282,"Incidència resolta, el formulari de sol·licitud està totalment operatiu."
283,Exercí d'advocat fins a la seva jubilació.
284,El vint-i-nou de febrer en David anirà al metge.
285,Agredir algú brandant un tac de billar.
286,També hi ha un petit annex a la façana oest.
287,El nou d'octubre en Dídac anirà d'excursió.
288,Alguns hi afegeixen també patates i pastanagues.
289,Per Sant Jordi en Pere vol anar al teatre.
290,Per què no enderroquem l'edifici?
291,Tot el document és interactiu.
292,Per Sant Jordi na Lena vol anar d'excursió.
293,A quina hora passa el primer autobús per Marganell dilluns?
294,"L'índex de malentesos era notable i la tensió, omnipresent."
295,"És soluble en benzè, dietilèter i èter de petroli."
296,S'han identificat tres trams d'uns dos metres de llargada.
297,Dissabte na Nara vol anar al metge.
298,L'obra passarà al domini públic quan els drets patrimonials expirin.
299,Posteriorment es va dedicar a la carrera judicial.
300,"Es troben a Sud-amèrica, Sud-àfrica, Àsia i Austràlia."
301,També prengueren part en la batalla de l'Ebre.
302,Ara entrem en la recta final del procés.
303,Tanmateix no hi ha un acord definitiu entre els estudiosos.
304,Va sofrir d'una ceguesa gairebé total des que va néixer.
305,Diumenge en Cesc anirà a Saldes.
306,Alguns anarcocapitalistes consideren a Molinari el primer defensor de l'anarcocapitalisme.
307,Fou el primer europeu a descobrir les illes Marshall.
308,L'onze de juliol he d'anar a Canovelles amb autobús.
309,Després el peguen amb la porra.
310,Vam repassar les nostres existències en armament.
311,Les decisions d’avui no tenen cap lògica científica.
312,"Que en fa, de fred, a Casserres!"
313,Allò que manca d'olor es denomina inodor.
314,"És una planta verinosa, però s'utilitza en jardineria."
315,"Mentrestant, treballava per pagar les seves pròpies despeses."
316,Quins anys va ser enviada als Estats Units?
317,La ramaderia és sobretot porcina i d'aviram.
318,Ja fa dies que nota la proximitat del sisme.
319,Posteriorment es va convertir en l'Hipòdrom.
320,Demà passat en Ferran i na Neida aniran a Sentmenat.
321,Diumenge na Sira anirà d'excursió.
322,Va arribar a ser un comtat.
323,"A més, ha estat nomenat fill predilecte de la ciutat."
324,L'obra és de maçoneria i exteriorment està arrebossada.
325,Dimecres en Quer i na Fiona aniran al metge.
326,Com ho puc fer per anar a Sabadell amb autobús?
327,Per a aconseguir això es requereixen mecanismes bastant complexos.
328,No es tenen dades en fonts d'arxius d'aquest autor.
329,Per Cap d'Any na Lea vol anar al metge.
330,"Insuficiència cardíaca, renal, hepàtica, coronària."
331,Durant aquests anys també va canviar de nom diverses vegades.
332,Dissabte na Gemma i en Guerau volen anar al teatre.
333,"Políticament, Kanan està involucrat amb la Lliga Antidifamació."
334,A la zona abunden roques d'origen marí.
335,César Mallorquí és un escriptor i periodista nascut a Barcelona.
336,Ja està a càrrec del banc.
337,Després en vindrien molts més.
338,Està enterrat al cementiri de Torredembarra.
339,Val més aprendre de vell que morir ruc.
340,Part d'això incloïa passades ràpides per Fair Isle i Groenlàndia.
341,Divendres na Farners voldria anar a Beuda.
342,Se solen menjar enrotllades com una neula.
343,Com era l'ambient al teatre?
344,Dimarts mon pare anirà al cinema.
345,Dissabte he d'anar a Castellcir amb autobús.
346,Actualment es troba ben arranjada i visitable.
347,L'estàtua fou descoberta a les restes d'un palau imperial.
348,Dijous he d'anar a la Galera amb autobús.
349,El moviment va ser declarat com a heretge per l'Església.
350,Actualment ostenta el càrrec de vicepresident del Consell General.
351,Dijous na Queralt anirà a visitar mon oncle.
352,No se sap quan va ser construït el pont.
353,Les golfes presenten dues finestres allargades.
354,"Encara adormit, Santorí és un volcà actiu."
355,Dic la meva sabent que tothom en pren nota.
356,La seva carn és molt apreciada.
357,La parella no va arribar a tenir fills.
358,L'edifici s'utilitzà posteriorment com a jardí d'infància.
359,Lviv és la ciutat natal polonesa d'altres esports.
360,"He vist néixer, créixer i expirar generacions senceres."
361,Conserva portes d'estil gòtic tardà amb arcs de diferents tipus.
362,Cal destacar el cobert realitzat amb fusta.
363,M'agradaria anar al carrer de Martí amb moto.
364,Una nit van anar al ball dels bombers locals.
365,"Amb les seves formacions trencades, l'exèrcit francès es retirà derrotat."
366,Per Cap d'Any na Dolça anirà a Real.
367,Les capelles presenten volta d'arestes.
368,Prop del mas hi ha un fossar particular.
369,"Estudià a Nova York, Berlín, París i Londres."
370,Cristòfor anava al comandament d'un dels vaixells.
371,El vint-i-tres de maig en Gerai va a Carcaixent.
372,Va passar la Guerra Civil a Madrid.
373,Ja no era considerat feudatari de Gwalior.
374,"El terrat, transitable, està enrajolat."
375,Els interessos econòmics no han d'imposar límits a la democràcia.
376,Dissabte na Dèlia anirà a Vilassar de Mar.
377,Només els atletes masculins van córrer aquesta distància.
378,Els sons del gong poden dependre de la seva afinació.
379,Separa les conques del Llobregat i el Besòs.
380,Ha aparegut igualment al Festival de Salzburg.
381,Doncs deixa d'actuar com si ho fossis.
382,Un policia assegut a la seva moto policial.
383,Els autors antics el presenten com a deforme i viciós.
384,La Universitat negocia el preu que pagarà per l'edifici.
385,Sir George Sitwell viu a Weston Hall.
386,Demà na Mariona va a Alaquàs.
387,Alguns dels seus senzills comptaven amb la vocalista sueca Therese.
388,Vull reservar un bar a Bonaparte Palau.
389,Es troba entre Xile i l'Argentina: l'Estret de Magallanes.
390,En aquesta època pintava sovint.
391,Els seus cossos són llargs amb forma de rata.
392,Per Sant Jordi na Vinyet vol anar al teatre.
393,Les mescles poden afegir caràcter o qualitat al vi.
394,És un dels primers bisbes del període musulmà.
395,"És, probablement, un dels pasdobles més coneguts."
396,Va anar a Faura amb cotxe.
397,William Boyd va ser educat a Glasgow.
398,Tot bon jugador sap com practicar les maniobres de distracció.
399,El producte de la reacció és glicerol i àcids grassos.
400,Dilluns na Thaís anirà a Gombrèn.
401,Els membres van triar principalment persones revolucionàries i creients.
402,Durant tota la seva adolescència va estudiar música.
403,La preocupació dels metges era que el crani estigués bé.
404,Ja ha adquirit aquesta qualitat màgica.
405,Demà passat en Guiu i na Gina aniran a Daimús.
406,El treball dels agricultors d'allà és magnífic.
407,Aquest és el punt projectat.
408,En el segon pati no hi ha cap element visible.
409,Dijous en Joan i na Laura aniran a Cervera.
410,Ha guanyat nombrosos premis i és considerada una excel·lent actriu.
411,La segona ronda estava envoltada de controvèrsia.
412,Vegeu la referència d’Arveson a continuació.
413,Per Cap d'Any na Carla i en Blai aniran d'excursió.
414,Què hi ha als jardins dels Doctors Dolsa número seixanta-set?
415,El vint-i-tres de maig en Miquel vol anar a Sempere.
416,És protegida com a bé cultural d'interès local.
417,Diumenge na Rosó i en Bru aniran a Son Servera.
418,Dijous en Marc i na Joana van a Anglesola.
419,La sagristia està darrere de l'església principal del monestir.
420,Diputat a les Corts Espanyoles durant la Segona República.
421,Aviat vaig adonar-me que aquella vegada era més difícil.
422,Quines mesures preveu cadascun dels cinc nivells de control epidemiològic?
423,Pol Llonch és un futbolista nascut a Barcelona.
424,Els clades són formats per famílies i ordres.
425,Dijous ma germana vol anar a la platja.
426,Qui hi ha al grup de captius britànics?
427,Doncs a última hora ho van aturar.
428,En aquesta zona es troba l'església de Sant Joan Baptista.
429,Però com es reconstrueixen les relacions?
430,Fidel era un jove mercader d'origen grec.
431,La família es troba a tot el món.
432,Aquest fet s’anomena terminació de la cadena.
433,"Malgrat els avenços científics, continua havent-hi moltes mancances."
434,Per Cap d'Any na Núria vol anar al metge.
435,Cabot era incapaç de cuidar-se a si mateixa.
436,La ramaderia dominant ha estat l'ovina.
437,Diumenge en Blai anirà a Torrella.
438,Va destacar com a pintor de paisatges.
439,És la seu del comtat de Stephens.
440,Els avis eren immigrants polonesos.
441,Qui domina el Kurdistan Meridional?
442,Estaven disponibles tant separats com empaquetats conjuntament.
443,Què venen al carrer del Paradís número setanta-quatre?
444,Era un home molt ric però poc decidit.
445,Dimecres na Txell i en Roc van a Òdena.
446,L'ogre en surt tot escuat.
447,"Restarà sempre com una gran amiga, a prop meu."
448,Vull anar a Dosaigües sense agafar el metro.
449,Parla amb sintagmes cada cop més llargs.
450,Com puc anar al carrer de l'Espinoi número noranta-quatre?
451,"Era un dels Nou Arcs, els enemics tradicionals d'Egipte."
452,Es requereixen dues condicions perquè això succeeixi.
453,M'estàs dient que tu i jo...?
454,"Que aquestes banderes aquí unides en amistat, així romanguin."
455,L'espectre pot dividir-se segons l'ús.
456,Demà en Bernat anirà a la biblioteca.
457,Divendres na Rosó i en Damià aniran a Alió.
458,S'obté mitjançant subscripció i no hi ha edició digital.
459,Es tracta del primer musical rodat en exteriors.
460,"Us importaria obrir la finestra, si us plau?"
461,Aquest fet canviarà les seves vides per sempre.
462,Una estrella de bronze indica la participació en una campanya.
463,El Tom té la sensació que són un matrimoni.
464,No us fieu del malalt que s'alça de nit.
465,Telefona a la Leia Basanta.
466,Dissabte en Pau vol anar al metge.
467,Tenia una porta renaixentista a la façana sud-est.
468,"Vull escriure llibres, va dir."
469,Tots els camins disposen d'enllumenat i estan perfectament habilitats.
470,Heu perdut la porteria de rugbi.
471,La interpretació correcta dels sinòptics és menys clara.
472,I són aplicables a tots els bitllets?
473,Un dels nans s'adona d'això i avisa els altres.
474,Els nous modes de transport requereixen una taxa virtual.
475,És membre del Club Natació Sabadell.
476,Conserva part de l'arrebossat original.
477,El nou d'octubre na Beth vol anar a Burjassot.
478,"L'obra es troba a la Galeria Borghese, Roma."
479,Els gimnastes realitzen moviments sincronitzats i danses.
480,Per això van incorporar idees de l'existencialisme francès.
481,Tot el contingut seguirà en línia.
482,"Es prepara per a exercir de casteller, tot amagant panxa."
483,Hi ha algun lampista als jardins de Villa Clara?
484,El Consell estava decidit a eliminar el terrorisme internacional.
485,Continuem lluitant pels drets civils i polítics.
486,Algunes espècies d'aquesta família són altament patògenes.
487,Em dic Margalida Bosch Torres.
488,He d'anar al carrer de Saragossa a peu.
489,Ell nega haver mort el coronel i se'n va.
